gene_name, cluster_assignment, em0-2hr, em2-4hr, em4-6hr, em6-8hr, em8-10hr, em10-12hr, em12-14hr, em14-16hr, em16-18hr, em18-20hr, em20-22hr, em22-24hr
CG3902, 0, 8.97, 0.255, 0.27, 1.52, 3.3, 18.1, 18.8, 19.6, 13.0, 15.9, 34.4, 34.7
CG3907, 0, 1.65, 4.5, 11.5, 9.84, 10.0, 9.61, 12.7, 6.11, 10.4, 12.5, 12.7, 17.2
CG3918, 0, 29.0, 46.8, 34.8, 23.7, 21.1, 14.5, 13.2, 9.89, 9.0, 6.37, 15.1, 11.5
CG3925, 0, 15.4, 19.2, 9.44, 11.0, 14.2, 20.2, 13.0, 13.0, 10.9, 9.15, 8.37, 9.47
CG3939, 0, 17.6, 2.38, 1.78, 3.47, 5.61, 13.1, 11.9, 11.3, 10.5, 10.0, 12.4, 11.9
CG3995, 0, 10.1, 13.7, 12.2, 11.3, 11.5, 9.76, 8.85, 4.32, 4.82, 2.82, 7.97, 7.68
CG40002, 0, 27.7, 36.4, 53.9, 24.1, 31.8, 58.4, 54.2, 25.5, 43.0, 25.9, 36.6, 54.4
CG40042, 0, 54.9, 11.8, 38.2, 40.4, 41.3, 47.5, 70.8, 28.3, 36.2, 28.4, 34.3, 46.0
CG40127, 5, 20.5, 22.2, 34.8, 25.6, 39.1, 70.0, 79.5, 16.7, 46.8, 34.0, 51.5, 107.0
CG4019, 0, 0.0684, 0.0624, 0.15, 1.01, 1.34, 1.96, 2.27, 9.33, 12.7, 26.0, 33.9, 28.8
CG40191, 0, 10.9, 5.43, 8.31, 10.5, 14.1, 20.9, 17.6, 5.9, 8.25, 5.11, 4.26, 6.15
CG4030, 0, 21.4, 3.81, 5.42, 10.6, 9.36, 7.91, 9.23, 8.51, 7.81, 9.41, 7.2, 7.4
CG4038, 0, 38.6, 64.3, 68.2, 96.3, 82.1, 58.7, 52.0, 49.8, 33.2, 27.4, 54.9, 44.4
CG40439, 0, 3.79, 4.67, 10.8, 12.7, 18.3, 27.7, 28.5, 4.02, 8.9, 5.25, 6.25, 10.7
CG4045, 0, 12.7, 16.2, 11.8, 15.6, 20.6, 23.9, 16.6, 12.8, 9.98, 8.02, 13.5, 11.0
CG40472, 0, 12.4, 13.6, 26.0, 12.6, 15.7, 30.8, 33.9, 14.1, 19.2, 14.5, 14.2, 33.0
CG4050, 0, 17.0, 11.3, 28.7, 18.7, 14.2, 14.6, 10.1, 9.43, 6.84, 5.02, 4.08, 4.63
CG4065, 0, 10.8, 3.92, 13.7, 12.6, 11.6, 16.6, 10.4, 8.78, 6.31, 4.83, 3.64, 3.58
CG4068, 0, 10.5, 4.6, 46.4, 34.1, 29.4, 22.1, 15.6, 10.4, 8.22, 7.22, 6.18, 6.95
CG4069, 0, 19.2, 23.5, 16.1, 21.7, 22.0, 18.2, 14.3, 10.1, 6.52, 4.07, 7.38, 6.87
CG4091, 0, 16.8, 10.5, 7.78, 6.06, 8.06, 8.4, 11.7, 6.9, 6.58, 5.66, 6.29, 8.23
CG4101, 0, 10.2, 16.4, 14.0, 13.5, 14.0, 16.5, 10.7, 4.71, 5.94, 6.45, 5.27, 6.12
CG4115, 5, 0.375, 0.261, 0.345, 1.03, 2.5, 5.81, 20.2, 120.0, 126.0, 94.6, 5.79, 9.71
CG4119, 0, 26.5, 32.3, 25.1, 26.1, 23.1, 20.6, 15.3, 14.9, 11.4, 8.34, 16.0, 12.4
CG41503, 0, 16.5, 3.47, 9.28, 11.0, 11.5, 16.0, 10.8, 8.77, 5.74, 5.82, 5.64, 5.39
