gene_name, cluster_assignment, em0-2hr, em2-4hr, em4-6hr, em6-8hr, em8-10hr, em10-12hr, em12-14hr, em14-16hr, em16-18hr, em18-20hr, em20-22hr, em22-24hr
Sry-delta, 0, 32.4, 41.2, 39.4, 43.7, 41.2, 48.2, 22.5, 17.9, 13.1, 12.1, 11.6, 10.1
SsRbeta, 2, 40.6, 22.0, 55.9, 103.0, 128.0, 183.0, 170.0, 83.4, 65.4, 39.3, 31.5, 32.0
Ssadh, 0, 12.8, 6.04, 13.6, 9.82, 8.93, 18.9, 14.3, 11.5, 8.87, 9.59, 9.48, 8.46
Ssb-c31a, 0, 29.3, 8.69, 28.9, 30.5, 26.7, 21.5, 13.3, 4.06, 5.13, 3.87, 3.9, 5.44
Ssdp, 0, 24.6, 36.6, 20.8, 13.9, 13.6, 10.5, 14.3, 9.95, 10.0, 6.56, 11.6, 10.4
Ssrp, 0, 62.7, 25.2, 64.5, 43.2, 28.9, 16.6, 10.7, 7.91, 5.42, 3.8, 3.36, 3.85
Ssu72, 0, 16.3, 13.4, 12.8, 15.7, 15.4, 17.5, 12.8, 8.66, 6.59, 5.55, 4.28, 4.49
St1, 0, 0.154, 0.0832, 0.118, 0.529, 0.736, 3.68, 10.9, 84.8, 14.2, 2.53, 0.668, 0.65
St3, 0, 0.139, 0.0865, 0.233, 0.484, 1.35, 4.86, 18.9, 41.2, 56.6, 25.5, 12.4, 18.6
Stam, 0, 18.6, 23.8, 7.02, 10.9, 15.3, 17.8, 14.4, 13.4, 11.9, 12.6, 12.9, 11.3
Stat92E, 0, 11.2, 14.3, 10.8, 11.1, 12.3, 7.62, 9.05, 6.91, 7.23, 5.36, 9.02, 9.89
Stim, 0, 18.9, 26.7, 9.74, 7.92, 10.1, 10.2, 12.4, 8.26, 8.34, 6.25, 11.9, 13.1
Su(H), 0, 14.4, 22.6, 9.07, 9.03, 9.0, 8.51, 7.85, 6.81, 3.9, 2.43, 4.24, 3.78
Su(P), 0, 29.2, 15.5, 22.0, 18.0, 17.3, 26.2, 13.5, 14.3, 13.8, 17.0, 21.6, 18.8
Su(Tpl), 0, 14.3, 16.5, 11.8, 11.3, 10.4, 8.69, 9.29, 12.0, 11.8, 10.5, 7.57, 7.66
Su(dx), 0, 23.9, 15.7, 18.3, 16.2, 14.3, 13.2, 11.9, 8.68, 8.93, 9.82, 10.2, 10.4
Su(fu), 0, 28.6, 43.0, 46.2, 30.3, 25.8, 23.8, 15.7, 16.1, 11.1, 7.55, 9.78, 10.3
Su(var)2-10, 0, 44.5, 29.9, 39.4, 30.0, 23.1, 12.6, 15.6, 11.4, 8.35, 5.16, 8.71, 7.69
Su(var)205, 2, 60.3, 136.0, 214.0, 179.0, 112.0, 67.8, 46.5, 22.4, 21.7, 13.7, 17.6, 21.5
Su(var)3-3, 0, 17.6, 20.3, 11.6, 11.1, 11.3, 8.04, 8.96, 7.35, 5.82, 2.82, 8.51, 7.12
Su(var)3-7, 0, 43.7, 49.0, 29.3, 23.4, 24.9, 17.4, 16.0, 15.8, 11.8, 6.35, 14.7, 13.8
Su(var)3-9, 0, 16.6, 28.1, 47.2, 29.3, 22.6, 23.5, 13.6, 10.0, 7.23, 5.22, 6.27, 6.11
Su(z)12, 0, 58.8, 24.9, 42.8, 34.4, 22.5, 17.3, 13.9, 12.7, 8.78, 8.17, 6.29, 5.9
SuUR, 0, 17.1, 19.8, 10.0, 8.56, 8.96, 5.82, 8.19, 5.99, 6.55, 3.1, 6.91, 7.48
Sucb, 0, 10.6, 19.7, 26.7, 23.8, 25.1, 43.4, 28.9, 23.1, 19.5, 16.8, 14.9, 14.6
Surf4, 0, 37.1, 17.2, 14.8, 32.5, 42.2, 56.7, 61.9, 74.2, 57.6, 33.0, 23.2, 23.2
Surf6, 0, 39.4, 65.0, 45.6, 39.3, 43.5, 34.9, 28.4, 14.4, 15.8, 11.3, 33.1, 29.4
Syb, 0, 14.6, 24.3, 29.7, 30.3, 32.7, 40.2, 32.5, 22.2, 20.8, 18.2, 18.6, 21.8
Synd, 0, 12.1, 11.4, 12.7, 12.5, 12.1, 11.2, 11.2, 12.5, 16.9, 14.7, 13.9, 16.0
Syx13, 0, 21.6, 11.2, 5.2, 5.81, 7.16, 10.6, 8.45, 7.88, 6.8, 6.58, 5.29, 4.79
Syx16, 0, 22.0, 4.63, 9.69, 13.0, 11.8, 16.5, 7.68, 12.4, 9.34, 11.4, 11.4, 7.99
Syx18, 0, 11.1, 11.3, 10.0, 10.1, 9.74, 10.2, 9.06, 7.8, 6.39, 5.44, 4.77, 4.84
Syx1A, 0, 5.03, 10.4, 15.7, 7.18, 7.33, 5.56, 8.47, 7.25, 11.9, 11.7, 15.8, 18.7
Syx5, 0, 25.4, 21.4, 21.3, 17.7, 20.9, 26.9, 23.1, 15.2, 17.1, 14.7, 13.5, 16.7
Syx7, 0, 21.8, 17.2, 14.1, 14.5, 14.0, 13.3, 10.5, 8.33, 10.5, 10.3, 13.9, 12.0
T-cp1, 0, 110.0, 22.3, 28.5, 44.3, 52.6, 104.0, 61.9, 48.7, 33.5, 24.7, 25.3, 21.7
TBPH, 0, 8.19, 18.8, 36.2, 35.0, 26.4, 28.0, 22.6, 16.7, 13.4, 12.2, 8.95, 9.67
TER94, 0, 158.0, 62.0, 93.9, 89.5, 62.7, 59.4, 38.9, 38.7, 27.2, 21.1, 14.2, 14.5
TFAM, 0, 35.2, 40.3, 24.3, 27.0, 30.2, 39.3, 25.5, 20.2, 16.2, 14.5, 14.3, 13.9
TH1, 0, 20.0, 38.2, 50.3, 38.2, 36.1, 34.7, 20.8, 13.7, 11.2, 6.5, 12.3, 10.6
TM9SF4, 0, 18.6, 8.63, 25.5, 27.0, 26.2, 28.1, 24.3, 14.6, 11.4, 8.72, 5.98, 6.59
TMS1, 0, 18.2, 39.5, 62.6, 52.5, 46.2, 59.4, 41.5, 43.6, 35.9, 34.1, 26.0, 29.0
TRAM, 0, 16.7, 22.9, 41.9, 69.2, 82.8, 155.0, 90.1, 83.2, 58.3, 35.9, 23.4, 20.0
TSG101, 0, 16.4, 20.1, 18.0, 16.1, 15.8, 15.2, 16.8, 8.98, 10.5, 10.9, 7.81, 9.27
Taf1, 0, 15.9, 25.8, 20.0, 17.7, 16.2, 11.5, 12.0, 11.0, 8.27, 4.98, 11.4, 9.64
Taf10, 0, 25.7, 39.0, 51.5, 39.9, 33.7, 33.7, 25.5, 19.9, 16.4, 16.5, 13.6, 13.9
Taf10b, 0, 32.1, 58.0, 64.0, 48.3, 45.6, 51.8, 29.7, 27.3, 21.1, 16.4, 16.0, 16.5
Taf11, 0, 16.8, 20.7, 16.4, 21.4, 22.1, 23.0, 14.4, 9.59, 6.52, 5.27, 7.17, 6.82
Taf12, 0, 39.9, 57.4, 45.3, 37.4, 37.1, 39.6, 27.3, 27.6, 18.8, 13.9, 15.8, 16.1
Taf13, 0, 18.4, 32.5, 28.8, 26.2, 25.7, 21.0, 22.1, 10.8, 12.0, 7.95, 11.3, 14.8
Taf2, 0, 18.2, 28.2, 20.5, 16.7, 16.8, 11.9, 10.8, 7.96, 5.81, 2.82, 4.47, 4.61
Taf4, 0, 29.4, 27.8, 18.4, 17.7, 14.7, 11.8, 9.78, 10.2, 7.33, 6.33, 5.46, 5.16
Taf5, 0, 27.0, 32.9, 33.4, 23.6, 22.2, 24.1, 16.3, 13.0, 9.4, 7.55, 7.78, 7.49
Taf6, 0, 21.7, 38.1, 36.4, 30.0, 28.1, 24.6, 16.4, 14.1, 11.0, 11.8, 13.6, 13.0
Taf7, 0, 12.9, 13.0, 11.4, 10.5, 10.6, 8.84, 8.15, 4.79, 4.98, 3.29, 5.92, 6.22
Taf8, 0, 21.0, 12.2, 16.5, 11.8, 10.9, 7.48, 5.93, 5.03, 3.73, 2.16, 3.01, 3.48
Tal, 5, 68.8, 10.6, 4.79, 16.6, 24.8, 55.8, 27.8, 32.8, 29.6, 61.9, 125.0, 136.0
Tango1, 0, 21.3, 14.1, 17.2, 22.6, 21.7, 20.2, 26.5, 20.2, 16.9, 16.3, 11.6, 11.7
Tango10, 0, 32.6, 18.2, 13.3, 14.2, 13.5, 10.3, 9.46, 10.6, 8.67, 5.88, 5.61, 5.46
Tango11, 0, 19.2, 29.6, 24.5, 20.6, 19.9, 16.0, 17.7, 10.9, 12.3, 10.9, 9.09, 10.3
Tango14, 0, 42.0, 10.6, 10.0, 12.9, 12.8, 17.5, 10.5, 14.2, 12.1, 13.3, 12.3, 10.8
Tango4, 0, 47.3, 76.5, 58.5, 41.5, 35.8, 47.1, 20.8, 27.3, 16.4, 11.4, 14.9, 11.5
Tango6, 0, 4.25, 6.53, 8.23, 6.58, 8.26, 9.73, 9.83, 7.5, 8.34, 11.1, 12.6, 17.8
Tango7, 2, 110.0, 167.0, 231.0, 173.0, 180.0, 158.0, 136.0, 122.0, 95.3, 79.4, 76.1, 84.5
Tao, 0, 43.1, 44.6, 31.6, 25.4, 26.3, 20.1, 20.6, 20.0, 14.8, 10.2, 13.1, 12.9
Tapdelta, 2, 75.8, 25.6, 95.4, 198.0, 222.0, 309.0, 249.0, 238.0, 134.0, 88.0, 71.0, 63.4
Tb, 0, 0.335, 0.1, 0.191, 0.141, 0.651, 0.433, 0.557, 13.2, 125.0, 51.4, 0.678, 0.777
Tbp, 0, 32.6, 21.6, 23.4, 18.3, 13.5, 9.61, 9.0, 5.11, 3.67, 3.14, 3.03, 2.95
Tbp-1, 0, 79.4, 17.5, 43.1, 40.8, 31.8, 29.9, 26.0, 19.8, 15.4, 11.5, 9.35, 11.5
Tcp-1eta, 0, 60.0, 26.9, 32.7, 40.8, 37.0, 48.1, 35.3, 30.1, 20.7, 16.2, 16.1, 14.4
Tcp-1zeta, 0, 149.0, 35.3, 28.2, 51.1, 62.3, 90.3, 60.4, 56.7, 40.4, 34.9, 29.3, 26.0
Tctp, 1, 511.0, 606.0, 446.0, 542.0, 650.0, 534.0, 429.0, 466.0, 439.0, 392.0, 511.0, 440.0
TepIV, 0, 0.976, 1.55, 3.45, 5.52, 9.89, 18.9, 20.4, 11.2, 9.18, 14.2, 21.9, 21.5
TfIIA-L, 0, 29.8, 37.7, 36.3, 24.0, 20.0, 20.2, 13.5, 13.8, 10.5, 8.15, 8.84, 8.61
TfIIA-S, 0, 15.5, 31.5, 45.0, 33.2, 28.9, 27.5, 20.0, 15.3, 13.4, 11.5, 9.0, 9.56
TfIIB, 0, 26.7, 49.7, 43.6, 36.8, 37.5, 46.9, 30.6, 17.0, 15.8, 13.0, 18.1, 17.2
TfIIEalpha, 0, 45.8, 23.9, 22.8, 19.6, 17.5, 19.4, 9.61, 10.3, 7.08, 6.01, 5.21, 5.27
TfIIEbeta, 0, 9.08, 15.2, 23.0, 15.1, 13.2, 12.4, 10.2, 6.24, 5.06, 6.05, 4.74, 5.47
TfIIFalpha, 0, 47.6, 76.8, 73.8, 33.1, 32.2, 23.2, 22.8, 22.1, 19.0, 10.0, 24.3, 22.3
TfIIFbeta, 0, 38.8, 54.9, 32.9, 21.6, 22.8, 17.0, 16.7, 11.7, 11.8, 7.23, 22.3, 18.7
TfIIS, 0, 27.0, 36.1, 28.0, 26.0, 20.6, 20.7, 15.7, 11.0, 8.39, 5.66, 4.8, 5.12
Tfb1, 0, 31.7, 21.2, 32.8, 27.7, 25.6, 22.3, 16.4, 12.8, 10.2, 9.86, 8.67, 10.1
Tfb5, 0, 30.7, 49.0, 49.9, 33.4, 30.0, 30.2, 20.2, 11.5, 10.1, 9.73, 8.51, 8.74
Thiolase, 0, 82.8, 25.9, 3.18, 2.39, 3.94, 18.2, 18.1, 32.7, 29.7, 32.4, 18.4, 17.9
Thor, 5, 5.11, 11.6, 39.1, 32.5, 22.2, 30.6, 41.5, 41.0, 46.0, 131.0, 118.0, 137.0
Tig, 5, 0.311, 0.432, 0.653, 3.62, 6.22, 20.1, 43.4, 99.9, 103.0, 105.0, 53.3, 52.1
Tim10, 5, 68.3, 69.2, 82.9, 67.7, 67.1, 74.2, 83.8, 80.6, 76.6, 72.3, 63.7, 69.5
Tim8, 0, 46.7, 13.2, 24.5, 24.2, 30.0, 42.8, 38.6, 39.4, 43.4, 34.4, 30.1, 28.1
Tim9a, 0, 16.6, 22.4, 31.8, 22.6, 23.2, 28.6, 32.9, 15.4, 19.5, 14.7, 15.4, 22.7
Tim9b, 0, 15.1, 7.89, 11.6, 12.8, 13.2, 21.7, 12.0, 10.4, 9.88, 10.9, 11.7, 9.15
Tina-1, 5, 34.2, 13.8, 6.36, 8.18, 25.0, 62.8, 67.2, 54.3, 51.6, 72.4, 74.1, 110.0
Tip60, 0, 20.8, 20.0, 18.6, 15.8, 15.5, 12.1, 10.8, 10.6, 8.89, 6.24, 10.7, 10.7
Tm1, 0, 6.55, 10.0, 8.1, 7.25, 7.96, 9.34, 16.4, 20.1, 31.1, 32.5, 39.8, 32.7
Tm2, 5, 0.6, 0.524, 0.375, 1.1, 2.68, 11.9, 26.7, 86.8, 138.0, 141.0, 182.0, 138.0
Toll-6, 0, 0.559, 9.45, 39.7, 37.6, 23.8, 9.6, 9.66, 5.47, 4.33, 4.8, 3.14, 4.03
Toll-7, 0, 0.238, 2.59, 14.5, 19.1, 26.8, 25.6, 30.7, 18.8, 16.4, 12.7, 7.47, 9.76
Tollo, 0, 4.61, 9.32, 19.7, 18.7, 19.2, 9.68, 12.3, 5.91, 3.53, 2.29, 1.18, 1.54
Tom, 2, 16.1, 292.0, 439.0, 524.0, 531.0, 327.0, 113.0, 31.9, 7.06, 13.5, 5.89, 9.4
Tom20, 0, 33.7, 45.1, 33.4, 38.2, 41.7, 55.9, 43.4, 29.2, 33.8, 32.7, 42.3, 37.2
Tom40, 0, 43.1, 39.1, 21.6, 18.9, 21.7, 28.5, 29.7, 24.8, 22.4, 24.5, 21.7, 20.8
Tom7, 5, 39.5, 54.6, 90.9, 70.0, 61.0, 97.9, 83.1, 49.9, 74.7, 59.3, 67.7, 84.0
Tom70, 0, 26.3, 11.2, 10.5, 12.3, 14.4, 16.7, 14.7, 13.7, 11.3, 7.42, 7.77, 7.26
Top1, 0, 58.8, 77.8, 40.1, 40.1, 42.9, 33.7, 34.0, 33.2, 27.1, 16.1, 35.7, 29.5
Top2, 0, 62.8, 122.0, 170.0, 110.0, 69.4, 27.4, 30.8, 19.7, 15.5, 7.36, 30.8, 26.1
Top3beta, 0, 36.3, 25.4, 27.1, 24.0, 21.6, 20.7, 12.3, 13.7, 8.1, 7.29, 5.68, 5.67
Topors, 0, 22.6, 18.0, 12.6, 11.8, 11.2, 7.69, 8.65, 8.39, 6.43, 4.22, 8.59, 6.45
Torsin, 0, 33.5, 35.2, 32.6, 23.5, 24.4, 33.5, 22.2, 19.0, 19.0, 13.9, 13.3, 15.2
Tpc1, 0, 11.3, 2.39, 4.28, 6.52, 8.39, 16.4, 19.4, 43.3, 15.9, 5.44, 2.62, 3.09
Tpc2, 5, 1.04, 0.616, 0.732, 1.79, 2.37, 3.37, 5.74, 222.0, 224.0, 28.4, 3.02, 3.78
Tpi, 5, 166.0, 4.02, 2.21, 1.62, 2.6, 12.2, 18.4, 79.0, 89.3, 146.0, 148.0, 135.0
TpnC25D, 0, 0.044, 0.113, 0.236, 0.17, 0.33, 0.265, 0.409, 2.37, 15.8, 30.1, 46.5, 53.0
TpnC47D, 3, 0.504, 0.455, 0.643, 2.03, 5.48, 36.6, 49.2, 110.0, 191.0, 233.0, 261.0, 236.0
TpnC73F, 5, 0.689, 0.473, 0.475, 1.92, 3.31, 24.5, 61.8, 95.9, 172.0, 179.0, 121.0, 129.0
TppII, 0, 56.6, 43.3, 48.7, 34.9, 27.5, 23.4, 20.6, 20.8, 19.3, 18.3, 20.9, 19.6
Tpr2, 0, 12.1, 19.5, 14.8, 15.5, 14.1, 12.0, 11.6, 10.8, 10.8, 11.2, 14.2, 14.1
Tps1, 0, 0.193, 1.75, 6.67, 28.2, 24.7, 17.4, 11.8, 17.3, 16.3, 31.0, 34.8, 34.8
Traf-like, 0, 0.256, 0.427, 1.29, 1.95, 3.7, 4.08, 6.39, 5.47, 16.5, 25.5, 20.5, 29.3
Trap1, 0, 23.7, 8.44, 16.3, 20.4, 25.3, 41.0, 37.0, 33.5, 30.5, 25.4, 23.6, 22.5
Trax, 0, 13.9, 18.6, 25.0, 19.4, 16.2, 12.1, 10.3, 4.8, 3.96, 3.02, 1.74, 2.4
Trc8, 0, 22.0, 17.4, 11.2, 12.7, 13.2, 12.7, 8.94, 10.6, 8.15, 7.19, 6.16, 5.95
Tre1, 0, 42.4, 53.2, 38.1, 52.5, 59.9, 52.8, 40.3, 44.9, 41.7, 42.4, 57.1, 41.8
Tret1-1, 0, 0.148, 0.393, 1.49, 9.95, 15.4, 17.3, 8.11, 6.1, 4.98, 5.97, 20.8, 19.3
Trf, 0, 16.3, 20.8, 28.3, 20.3, 18.5, 17.1, 10.2, 10.4, 7.68, 4.13, 8.84, 7.12
Trf4-1, 0, 40.3, 43.7, 14.5, 14.2, 15.9, 11.2, 11.7, 21.4, 15.7, 10.4, 12.8, 10.6
Trip1, 2, 155.0, 260.0, 275.0, 221.0, 228.0, 226.0, 158.0, 154.0, 118.0, 105.0, 96.1, 94.0
Trl, 0, 8.07, 15.7, 14.8, 22.9, 18.8, 23.3, 21.2, 15.5, 11.0, 9.57, 7.47, 6.41
Trn, 0, 30.9, 37.1, 15.3, 12.6, 18.2, 12.3, 15.7, 11.8, 11.6, 7.02, 7.7, 11.2
Trn-SR, 0, 13.8, 19.6, 11.9, 11.1, 11.4, 12.9, 8.61, 7.54, 5.74, 3.33, 4.82, 4.74
Trp1, 0, 9.15, 6.91, 6.87, 21.0, 31.0, 53.3, 57.1, 37.3, 23.0, 11.0, 10.3, 12.4
Trx-2, 5, 40.1, 2.86, 6.0, 20.6, 31.2, 50.4, 36.0, 55.0, 78.8, 66.0, 57.2, 69.5
Trxr-1, 0, 69.2, 15.6, 3.77, 3.72, 5.16, 8.21, 6.46, 12.5, 15.9, 27.0, 45.3, 44.1
Try29F, 0, 0.258, 0.533, 1.74, 1.69, 1.71, 1.29, 0.784, 2.93, 23.2, 94.8, 28.8, 29.2
Ts, 0, 41.5, 9.1, 23.6, 17.4, 9.28, 7.46, 2.91, 3.1, 3.03, 2.23, 1.23, 1.23
Tsc1, 0, 23.9, 30.7, 8.73, 8.56, 11.2, 10.4, 10.2, 10.7, 8.81, 6.66, 7.96, 7.34
Tsf2, 0, 30.8, 18.8, 40.1, 69.2, 72.5, 104.0, 75.6, 67.8, 42.8, 32.8, 16.5, 17.8
Tsp29Fb, 5, 0.193, 0.164, 0.173, 0.177, 0.409, 0.913, 2.5, 18.6, 42.6, 69.8, 80.7, 86.0
Tsp2A, 0, 0.225, 0.706, 0.501, 1.13, 1.99, 8.32, 10.4, 31.8, 49.6, 68.9, 51.1, 47.3
Tsp3A, 0, 8.15, 11.7, 11.0, 15.4, 14.9, 16.7, 11.6, 9.83, 6.2, 4.36, 3.17, 3.57
Tsp42Ea, 0, 2.68, 0.5, 1.04, 3.05, 5.19, 15.4, 11.8, 11.4, 25.5, 36.6, 20.8, 26.4
Tsp42Ed, 0, 0.115, 0.168, 0.417, 1.21, 3.01, 6.07, 6.55, 17.4, 33.0, 44.7, 38.5, 44.4
Tsp42Ee, 0, 6.52, 6.29, 6.17, 10.2, 18.4, 43.4, 43.8, 29.4, 44.5, 29.1, 23.6, 31.9
Tsp86D, 0, 20.8, 21.6, 16.4, 21.7, 29.3, 43.4, 23.0, 15.1, 11.1, 9.96, 5.97, 6.82
Tsp97E, 0, 16.7, 27.5, 25.5, 17.5, 16.2, 14.0, 15.5, 14.1, 11.8, 8.98, 10.9, 13.6
Ttc19, 0, 3.05, 5.33, 8.32, 7.32, 8.9, 11.5, 10.7, 7.78, 12.3, 10.7, 7.84, 9.71
Tudor-SN, 0, 73.7, 93.8, 81.3, 72.7, 83.4, 85.8, 88.3, 73.4, 49.5, 28.3, 29.5, 33.8
TwdlB, 4, 1.8, 1.81, 0.68, 0.466, 4.2, 2.89, 2.0, 49.3, 473.0, 548.0, 165.0, 272.0
TwdlBeta, 5, 0.5, 0.344, 0.238, 0.268, 1.08, 0.565, 0.752, 20.9, 204.0, 173.0, 2.55, 3.03
TwdlC, 5, 0.472, 0.414, 0.173, 0.18, 0.979, 0.484, 0.877, 26.5, 197.0, 319.0, 4.99, 7.25
TwdlD, 4, 2.89, 1.57, 1.26, 1.3, 5.48, 7.76, 6.8, 142.0, 581.0, 554.0, 19.4, 27.6
TwdlF, 4, 2.3, 1.19, 1.8, 3.26, 6.88, 7.82, 15.9, 371.0, 575.0, 88.2, 5.91, 8.17
TwdlG, 0, 0.454, 0.189, 0.245, 0.38, 1.03, 1.12, 2.64, 59.8, 161.0, 61.6, 5.57, 5.85
TwdlL, 4, 1.79, 1.42, 0.637, 0.692, 3.64, 3.09, 2.21, 53.7, 468.0, 478.0, 188.0, 246.0
TwdlM, 4, 4.73, 4.64, 1.64, 1.5, 10.2, 8.5, 4.22, 157.0, 556.0, 581.0, 245.0, 279.0
TwdlN, 3, 2.06, 1.64, 0.421, 0.738, 3.68, 7.74, 4.96, 28.7, 279.0, 572.0, 792.0, 558.0
TwdlP, 5, 0.172, 0.114, 0.101, 0.0471, 0.271, 0.537, 0.391, 3.15, 31.4, 239.0, 105.0, 78.8
TwdlT, 0, 0.182, 0.916, 3.6, 2.35, 1.12, 0.775, 2.21, 39.9, 81.0, 21.4, 0.745, 1.44
TwdlV, 5, 0.343, 0.475, 0.154, 0.226, 0.613, 0.798, 0.68, 25.0, 146.0, 231.0, 7.26, 6.96
TwdlW, 4, 0.946, 0.554, 0.44, 0.527, 1.46, 1.21, 2.13, 56.9, 384.0, 281.0, 7.43, 9.74
TwdlX, 0, 0.223, 0.218, 0.214, 0.328, 0.749, 1.5, 2.37, 31.8, 90.3, 100.0, 21.7, 17.6
TwdlY, 4, 1.04, 1.01, 0.746, 0.589, 2.56, 1.89, 1.95, 57.7, 421.0, 482.0, 16.0, 24.1
Txl, 0, 66.9, 28.6, 51.3, 50.5, 41.9, 50.5, 31.4, 27.5, 22.1, 16.7, 15.3, 16.2
U2A, 0, 20.8, 10.6, 24.3, 26.1, 15.8, 14.7, 9.55, 5.21, 4.15, 3.65, 2.15, 1.75
U2af38, 0, 53.0, 100.0, 86.0, 62.4, 53.9, 50.8, 33.4, 31.2, 22.7, 13.8, 26.9, 23.1
U2af50, 0, 43.6, 82.1, 99.9, 71.6, 68.3, 78.1, 42.9, 29.8, 23.4, 19.6, 18.2, 18.9
U3-55K, 0, 16.2, 9.22, 16.2, 15.6, 14.9, 16.6, 9.68, 5.96, 4.13, 3.52, 8.04, 6.16
U4-U6-60K, 0, 27.2, 20.8, 26.3, 23.3, 17.7, 15.8, 10.6, 10.7, 6.75, 3.91, 5.64, 3.98
UBL3, 0, 13.1, 5.52, 8.18, 7.57, 8.02, 8.22, 11.5, 7.15, 8.94, 8.71, 6.35, 7.65
UK114, 0, 26.0, 11.0, 3.67, 0.897, 0.671, 2.49, 3.12, 6.7, 12.2, 14.6, 14.7, 13.5
Uba1, 0, 99.0, 28.0, 57.2, 47.6, 41.6, 39.2, 26.0, 18.7, 13.3, 10.5, 10.9, 11.1
Uba2, 0, 64.9, 85.1, 66.6, 54.0, 52.5, 39.0, 31.3, 25.0, 19.5, 9.36, 23.5, 22.0
Ubc-E2H, 0, 30.4, 42.5, 13.8, 10.2, 16.3, 17.0, 24.5, 22.0, 25.5, 16.5, 13.5, 18.5
Ubc12, 0, 33.8, 57.2, 60.5, 42.6, 35.8, 33.0, 25.9, 16.8, 16.1, 14.0, 12.5, 13.5
UbcD10, 0, 59.4, 47.5, 34.6, 26.3, 25.7, 27.1, 22.0, 21.8, 18.4, 12.6, 24.2, 23.1
UbcD2, 0, 36.4, 55.3, 35.5, 22.1, 20.1, 18.3, 12.7, 13.4, 10.4, 6.61, 9.69, 8.5
UbcD4, 0, 28.7, 26.3, 9.18, 4.71, 6.43, 6.82, 6.66, 7.05, 6.0, 4.93, 5.79, 5.69
UbcD6, 0, 9.51, 11.7, 7.68, 10.2, 12.6, 11.1, 20.2, 7.32, 15.3, 13.1, 11.9, 19.6
Ube3a, 0, 23.1, 23.7, 16.7, 18.9, 17.9, 13.6, 12.7, 11.8, 9.86, 6.58, 12.3, 9.92
Ubi-p5E, 2, 309.0, 121.0, 132.0, 163.0, 168.0, 224.0, 190.0, 171.0, 160.0, 169.0, 63.8, 91.4
Ubi-p63E, 2, 126.0, 58.3, 122.0, 289.0, 247.0, 331.0, 217.0, 172.0, 131.0, 96.3, 49.9, 76.3
Ubp64E, 0, 21.8, 39.5, 38.2, 23.4, 23.9, 20.2, 23.1, 31.8, 27.8, 21.4, 22.2, 21.7
Ubqn, 0, 44.3, 45.7, 37.2, 33.5, 29.8, 34.2, 26.5, 21.0, 18.4, 15.2, 12.4, 12.5
Uch, 0, 86.8, 6.95, 4.39, 1.7, 1.87, 2.79, 3.69, 4.34, 3.69, 2.86, 1.65, 2.13
Uch-L3, 0, 74.4, 94.8, 48.5, 34.7, 38.0, 30.8, 25.2, 19.4, 17.6, 8.76, 17.4, 19.4
Ucrh, 5, 31.1, 43.0, 60.8, 37.0, 39.5, 68.5, 92.4, 31.3, 58.3, 32.9, 59.6, 103.0
Ude, 0, 1.22, 1.76, 1.09, 1.09, 1.13, 1.68, 2.35, 5.25, 17.0, 53.7, 46.6, 57.3
Uev1A, 0, 52.1, 71.2, 40.4, 27.8, 37.1, 41.0, 29.0, 20.5, 18.4, 10.4, 12.4, 16.0
Ufd1-like, 0, 29.4, 7.38, 17.5, 18.7, 18.2, 19.9, 14.5, 11.5, 9.03, 7.37, 5.96, 6.47
Ugt, 0, 20.4, 14.8, 23.0, 18.9, 15.3, 13.1, 16.1, 7.66, 5.26, 2.82, 1.87, 2.23
Ugt35a, 0, 6.39, 4.08, 1.95, 3.61, 6.64, 4.99, 9.08, 10.4, 14.2, 14.4, 19.2, 28.9
Ugt36Bc, 0, 0.131, 1.36, 7.64, 7.21, 8.46, 14.5, 12.3, 12.6, 20.1, 27.1, 26.4, 25.0
Ugt58Fa, 0, 0.2, 0.269, 0.48, 3.58, 6.04, 16.1, 22.2, 25.1, 19.0, 10.7, 1.84, 2.38
Uhg2, 0, 1.05, 4.54, 9.97, 14.2, 18.3, 31.8, 23.3, 6.6, 6.95, 6.21, 13.3, 14.8
Uhg7, 0, 54.6, 67.0, 48.2, 62.7, 72.3, 60.1, 50.6, 52.1, 57.9, 55.0, 56.0, 61.6
Ulp1, 0, 26.1, 33.5, 35.0, 21.7, 20.8, 10.3, 17.3, 10.8, 8.37, 4.36, 8.17, 9.6
Unc-115a, 0, 0.965, 2.08, 4.31, 8.6, 10.4, 15.9, 17.1, 17.1, 18.3, 28.1, 26.8, 25.5
Unc-115b, 0, 7.45, 9.69, 12.2, 20.9, 25.6, 40.8, 35.0, 38.2, 31.8, 44.0, 36.2, 36.4
Unr, 0, 20.0, 22.4, 12.7, 13.5, 16.3, 14.3, 14.6, 9.67, 8.71, 5.31, 5.33, 7.05
Updo, 0, 35.3, 12.6, 23.8, 29.6, 27.5, 47.4, 29.7, 35.1, 26.8, 23.4, 17.8, 18.3
Upf1, 0, 17.0, 7.21, 19.7, 18.5, 15.1, 15.3, 11.8, 10.5, 7.91, 7.03, 5.71, 5.2
Upf3, 0, 13.6, 15.5, 12.6, 13.4, 11.8, 9.44, 8.42, 7.43, 5.25, 4.11, 5.31, 4.8
Usp7, 0, 37.5, 44.7, 26.7, 22.0, 22.6, 15.5, 19.9, 17.1, 15.1, 10.1, 13.0, 15.2
