gene_name,em0-2hr,em2-4hr,em4-6hr,em6-8hr,em8-10hr,em10-12hr,em12-14hr,em14-16hr,em16-18hr,em18-20hr,em20-22hr,em22-24hr
CG43218,3.52E-03,0.00E+00,4.69E-03,1.37E-02,4.78E-02,1.31E-01,4.00E-01,6.21E-01,2.22E+00,2.00E+00,6.03E-01,1.06E+00
CG43219,0.00E+00,0.00E+00,7.49E-03,2.75E-03,0.00E+00,5.22E-03,8.17E-03,5.63E-03,5.06E-03,7.42E-03,3.47E-03,7.42E-03
CG43220,0.00E+00,3.59E-02,0.00E+00,0.00E+00,5.10E-02,5.74E-02,5.21E-01,6.66E-02,5.76E-02,3.42E-02,4.16E-02,2.14E-01
CG43221,7.66E-02,2.41E-01,1.20E-01,4.58E-02,0.00E+00,5.61E-02,5.49E-03,3.03E-02,5.55E-02,0.00E+00,4.66E-02,2.97E-01
CG43222,1.09E-03,1.83E-02,5.48E-02,4.23E-02,6.46E-02,2.57E-01,6.80E-01,5.66E-01,1.66E+00,1.76E+00,1.46E+00,1.57E+00
CG43229,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.07E-02,3.68E-02,2.02E-02,4.87E-02
CG43230,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.47E-02,0.00E+00,0.00E+00,0.00E+00
CG43231,0.00E+00,0.00E+00,6.89E-03,4.99E-03,0.00E+00,4.81E-03,1.13E-02,0.00E+00,9.81E-03,4.57E-03,6.39E-03,4.55E-03
CG43232,0.00E+00,0.00E+00,5.32E-02,1.00E-01,1.72E-01,5.20E-02,3.99E-01,7.29E-02,1.22E+00,4.25E-01,1.43E-01,4.02E-01
CG43233,0.00E+00,0.00E+00,0.00E+00,2.18E-02,1.01E-01,2.23E-01,3.28E-01,7.39E-02,2.42E-01,1.39E-01,0.00E+00,6.66E-02
CG43234,3.14E-02,3.49E-02,3.69E-01,5.12E-01,1.51E+00,1.16E+00,9.51E-01,7.95E-01,4.25E-01,4.72E-02,3.83E-02,2.77E-02
CG43235,2.67E-03,4.11E-03,7.60E-03,4.26E-02,1.23E-01,1.60E-01,2.62E-01,4.53E-02,1.50E-01,3.44E-02,1.22E-02,6.62E-02
